GEOCODE,GEONAME,Total Pop.,Male,Female
3549095,"Parry Sound, Unorganized, North East Part",190,95,90
3549096,"Parry Sound, Unorganized, Centre Part",2145,1110,1035
3551001,Tehkummah,440,220,215
3551006,Central Manitoulin,2085,1035,1050
3551011,Assiginack,1015,505,510
3551017,Northeastern Manitoulin and the Islands,2715,1330,1380
3551021,Billings,605,295,305
3551026,Gore Bay,865,430,430
3551027,Gordon/Barrie Island,490,255,230
3551028,Burpee and Mills,345,185,160
3551040,Whitefish River (Part) 4,460,235,225
3551041,Sucker Creek 23,375,190,185
3551042,Sheguiandah 24,135,65,65
3551043,Wikwemikong Unceded,2500,1215,1285
3551044,Sheshegwaning 20,135,60,75
3551045,M'Chigeeng 22 (West Bay 22),880,460,425
3551094,"Manitoulin, Unorganized, West Part",170,90,85
3551100,Zhiibaahaasing 19A (Cockburn Island 19A),55,30,25
3552001,French River / Rivière des Français,2665,1360,1300
3552004,St.-Charles,1270,665,605
3552013,Markstay-Warren,2660,1390,1260
3552023,Sables-Spanish Rivers,3210,1630,1585
3552026,Espanola,4995,2470,2530
3552028,Baldwin,620,325,295
3552031,Nairn and Hyman,340,180,160
3552036,Killarney,385,200,185
3552051,Whitefish Lake 6,385,185,200
3552052,Mattagami 71,190,90,95
3552054,Duck Lake 76B,85,40,45
3552092,Chapleau,1965,980,985
3552093,"Sudbury, Unorganized, North Part",2755,1440,1315
3553005,Greater Sudbury / Grand Sudbury,161530,78950,82575
3553040,Wahnapitei 11,115,55,60
3554001,Coleman,595,300,295
3554006,Latchford,310,155,155
3554008,Cobalt,1125,555,575
3554014,Harris,545,265,280
3554020,Temiskaming Shores,9920,4715,5205
3554021,Hudson,500,250,250
3554024,Kerns,360,175,180
3554026,Harley,555,300,250
3554029,Casey,370,195,170
3554032,Brethour,95,50,45
3554034,Hilliard,225,115,110
3554036,Armstrong,1165,575,590
3554038,Thornloe,110,60,50
3554042,James,420,225,195
3554044,Charlton and Dack,685,355,330
3554049,Evanturel,450,250,200
3554052,Englehart,1480,690,785
3554054,Chamberlain,335,170,160
3554056,Matachewan,225,120,110
3554057,Matachewan 72,60,30,30
